Ticker,Status,Gates_Passed,Close,EMA_200,RSI,ADX,OBV,OBV_EMA_20,MACD_Line,Signal_Line,ATR,Aroon_Up,Aroon_Down,RSI_Score,ADX_Score,OBV_Score,Structural_Score,Aroon_Score,Final_Mo_Score
PARR,Disqualified,+DI <= -DI | MACD fails conditions,54.630001068115234,48.29687057723724,48.050663886790204,21.413353021328465,26827800.0,24335836.342812616,-1.7710115309382815,-1.949328496688327,2.7040579142628363,28.57142857142857,85.71428571428571,0,0,0,0,0,0
PBF,Disqualified,MACD fails conditions,43.11000061035156,36.20903926270623,57.23193882837424,10.224481378690545,119302700.0,113280570.4342474,-0.07814622295629192,-0.34059311005255444,2.330823219922287,7.142857142857142,64.28571428571429,0,0,0,0,0,0
PLUG,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,2.5399999618530273,2.560818317907615,33.28388043472111,27.39112180309786,208856500.0,527884233.0005977,-0.22535952273774518,-0.17107255502584126,0.2383839601364032,0.0,100.0,0,0,0,0,0,0
PPL,Passed,Passed,37.02000045776367,35.91978681583849,61.69985640399534,20.849727541525716,200400400.0,122391680.71469754,0.20300270029508027,-0.036622482435999776,0.7177202890552073,100.0,0.0,10,5,0,5,10,30
PPL.TO,Disqualified,MACD fails conditions,66.94000244140625,58.38356422885552,57.14176417468029,16.214854357108077,43600000.0,44457515.89153313,0.49474607926174485,0.6063095595187977,1.2788561590547516,21.428571428571427,57.14285714285714,0,0,0,0,0,0
PR,Disqualified,+DI <= -DI | MACD fails conditions,18.719999313354492,17.356690714868897,43.184448255916934,14.822243401673626,280702800.0,319548406.2013415,-0.3245928091463419,-0.3326406367062392,0.6245109493438956,28.57142857142857,64.28571428571429,0,0,0,0,0,0
PRY.MI,Disqualified,+DI <= -DI | MACD fails conditions,142.85000610351562,109.56634115249635,46.244571165467804,13.937641542040335,39863923.0,38146949.54759694,1.2841531340308165,1.9829900828349332,5.892799816335695,71.42857142857143,14.285714285714285,0,0,0,0,0,0
PSK.TO,Disqualified,+DI <= -DI | MACD fails conditions,32.119998931884766,29.875368063630553,39.06702293367946,27.828215812312315,25277200.0,25231477.465966523,-0.48031343347793864,-0.31422001701830937,0.7489517310582794,21.428571428571427,71.42857142857143,0,0,0,0,0,0
PSX,Disqualified,+DI <= -DI | MACD fails conditions,171.64999389648438,154.86670079552255,46.656365990906885,14.058726990332696,35863100.0,40253908.82250302,-1.5145569225040845,-0.576815611135961,5.232746382101904,7.142857142857142,64.28571428571429,0,0,0,0,0,0
PTEN,Disqualified,+DI <= -DI | MACD fails conditions,9.59000015258789,8.945593944810007,33.8141891903354,24.815596448554214,253466900.0,290883588.1460218,-0.5122668507621704,-0.3244959665976481,0.5511863901374265,0.0,92.85714285714286,0,0,0,0,0,0
QBTS,Disqualified,+DI <= -DI | MACD fails conditions,22.760000228881836,21.86460504918567,46.51776056212046,16.64305881353036,1033235300.0,1013998724.6948,-0.16992054392896705,0.3024401025785821,2.4615417466285385,42.857142857142854,100.0,0,0,0,0,0,0
RIG,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,5.110000133514404,5.315444082617871,31.683373466043378,35.627324989301776,1530308700.0,1637220874.9532545,-0.3467659506252252,-0.2775852837593913,0.2544297558428076,7.142857142857142,92.85714285714286,0,0,0,0,0,0
